Player,G,PTS/36,T_PTS,TRB/36,T_TRB,AST/36,T_AST,STL/36,T_STL,BLK/36,T_BLK,TOV/36,T_TOV,TS%,PER,WS/36,T_WS,BPM,VORP,On_Off,TWR
Nikola Jokić,69,26.2,1690,12.7,817,10.5,678,1.3,87,0.7,47,3.8,247,0.701,31.5,0.231,14.9,13.0,8.8,21.9,0.91
Joel Embiid,66,34.4,2183,10.6,670,4.3,274,1.0,66,1.8,112,3.6,226,0.655,31.4,0.194,12.3,9.2,6.4,10.1,0.93
Giannis Antetokounmpo,63,34.8,1959,13.2,742,6.4,359,0.9,52,0.9,51,4.4,246,0.605,29.0,0.153,8.6,8.5,5.4,7.8,1.0
Jayson Tatum,74,29.3,2225,8.6,649,4.5,342,1.0,78,0.7,51,2.8,213,0.607,23.7,0.138,10.5,5.5,5.1,5.5,0.98
James Harden,58,20.5,1216,6.0,354,10.4,618,1.2,71,0.5,31,3.3,195,0.607,21.6,0.142,8.4,5.4,4.0,3.7,0.93
Domantas Sabonis,79,19.9,1510,12.8,973,7.5,573,0.9,65,0.5,39,3.0,230,0.668,23.5,0.166,12.6,5.8,5.4,1.9,0.83
Luka Dončić,66,32.2,2138,8.6,569,8.0,529,1.4,90,0.5,33,3.6,236,0.609,28.7,0.154,10.2,9.0,6.6,4.9,0.66
Jimmy Butler,64,24.7,1466,6.3,375,5.7,340,2.0,117,0.4,21,1.7,101,0.647,27.6,0.207,12.3,8.7,5.8,3.5,0.76
Shai Gilgeous-Alexander,68,31.8,2135,4.9,329,5.5,371,1.7,112,1.0,65,2.9,192,0.626,27.2,0.17,11.4,7.3,5.6,4.9,0.69
Damian Lillard,58,31.9,1866,4.7,277,7.3,425,0.9,50,0.3,18,3.3,191,0.645,26.7,0.154,9.0,7.1,4.9,12.8,0.57
